        N   size[kB]     t[s]  op_per_sec[10^9]
   371027     1449.3  0.31318  0.319307
   410063     1601.8  0.31283  0.319662
   453206     1770.3  0.31238  0.320128
   500888     1956.6  0.31410  0.318367
   553586     2162.4  0.31376  0.318717
   611829     2390.0  0.31460  0.317863
   676199     2641.4  0.31492  0.317541
   747342     2919.3  0.31510  0.317357
   825970     3226.4  0.31474  0.317727
   912870     3565.9  0.31589  0.316570
  1008913     3941.1  0.31499  0.317466
  1115061     4355.7  0.31554  0.316920
  1232376     4814.0  0.31562  0.316840
  1362035     5320.4  0.31572  0.316734
  1505334     5880.2  0.31586  0.316591
  1663710     6498.9  0.31563  0.316829
  1838749     7182.6  0.31659  0.315866
  2032203     7938.3  0.31576  0.316696
  2246011     8773.5  0.31629  0.316164
  2482314     9696.5  0.31630  0.316151
  2743478    10716.7  0.31583  0.316625
  3032119    11844.2  0.31638  0.316073
  3351127    13090.3  0.31632  0.316131
  3703699    14467.6  0.31639  0.316069
  4093365    15989.7  0.31666  0.315800
  4524027    17672.0  0.31612  0.316333
  5000000    19531.2  0.31608  0.316371


        N   size[kB]     t[s]  op_per_sec[10^9]
      250        1.0  0.30790  0.324785
      276        1.1  0.30879  0.323844
      305        1.2  0.30785  0.324831
      337        1.3  0.30847  0.324176
      373        1.5  0.31033  0.322237
      412        1.6  0.30856  0.324086
      455        1.8  0.30943  0.323172
      503        2.0  0.30996  0.322617
      556        2.2  0.30858  0.324063
      615        2.4  0.30967  0.322927
      679        2.7  0.30914  0.323482
      751        2.9  0.30959  0.323011
      830        3.2  0.30902  0.323602
      917        3.6  0.30841  0.324243
     1014        4.0  0.30906  0.323566
     1121        4.4  0.30852  0.324132
     1238        4.8  0.31034  0.322224
     1369        5.3  0.30834  0.324315
     1513        5.9  0.30525  0.327601
     1672        6.5  0.30605  0.326743
     1848        7.2  0.31037  0.322191
     2043        8.0  0.30940  0.323203
     2258        8.8  0.30952  0.323079
     2495        9.7  0.30947  0.323129
     2758       10.8  0.30944  0.323165
     3048       11.9  0.30869  0.323948
     3369       13.2  0.31045  0.322113
     3723       14.5  0.31063  0.321931
     4115       16.1  0.30984  0.322746
     4548       17.8  0.31303  0.319461
     5026       19.6  0.31380  0.318679
     5555       21.7  0.31456  0.317908
     6140       24.0  0.31426  0.318204
     6786       26.5  0.31577  0.316685
     7500       29.3  0.31516  0.317300
     8289       32.4  0.32856  0.304359
